Country, Population, Area
Gabon, 2.225.734, 257, 8660
Kazakhstan, 18.776.707, 2.699, 6957
Mauritania, 4.649.658, 1.030, 4514
Guyana, 786.552, 196, 4013
Libya, 6.871.292, 1.759, 3906
Suriname, 586.632, 156, 3760
Iceland, 341.243, 100, 3412
Namibia, 2.540.905, 823, 3087
Mongolia, 3.278.290, 1.553, 2111
Bangladesh, 164.689.383, 130.170, 1265
Palestine State, 5.101.414, 6.020, 847
Micronesia, 548.914, 700, 784
Barbados, 287.375, 430, 668
Lebanon, 6.825.445, 10.230, 667
San Marino, 33.931, 60, 566
Nauru, 10.824, 20, 541
South Korea, 51.269.185, 97.230, 527
Rwanda, 12.952.218, 24.670, 525
Netherlands, 17.134.872, 33.720, 508
Comoros, 869.601, 1.861, 467
Burundi, 11.890.784, 25.680, 463
Haiti, 11.402.528, 27.560, 414
Israel, 8.655.535, 21.640, 400
Tuvalu, 11.792, 30, 393
Belgium, 11.589.623, 30.280, 383
Philippines, 109.581.078, 298.170, 368
Japan, 126.476.461, 364.555, 347
Sri Lanka, 21.413.249, 62.710, 341
Grenada, 112.523, 340, 331
Marshall Islands, 59.190, 180, 329
Vietnam, 97.338.579, 310.070, 314
El Salvador, 6.486.205, 20.720, 313
Saint Lucia, 183.627, 610, 301
Pakistan, 220.892.340, 770.880, 287
Saint Vincent and the Grenadines, 110.940, 390, 284
United Kingdom, 67.886.011, 241.930, 281
Jamaica, 2.961.167, 10.830, 273
Qatar, 2.881.053, 11.610, 248
Luxembourg, 625.978, 2.590, 242
Germany, 83.783.942, 348.560, 240
Kuwait, 4.270.571, 17.820, 240
Gambia, 2.416.668, 10.120, 239
Liechtenstein, 38.128, 160, 238
Uganda, 45.741.007, 199.810, 229
Sao Tome and Principe, 219.159, 960, 228
Nigeria, 206.139.589, 910.770, 226
Dominican Republic, 10.847.910, 48.320, 225
Antigua and Barbuda, 97.929, 440, 223
Switzerland, 8.654.622, 39.516, 219
North Korea, 25.778.816, 120.410, 214
Seychelles, 98.347, 460, 214
Italy, 60.461.826, 294.140, 206
Saint Kitts and Nevis, 53.199, 260, 205
Malawi, 19.129.952, 94.280, 203
Nepal, 29.136.808, 143.350, 203
Guatemala, 17.915.568, 107.160, 167
Andorra, 77.265, 470, 164
Togo, 8.278.724, 54.390, 152
Indonesia, 273.523.615, 1.811.570, 151
Kiribati, 119.449, 810, 147
Tonga, 105.695, 720, 147
Czechia (Czech Republic), 10.708.981, 77.240, 139
Denmark, 5.792.202, 42.430, 137
Ghana, 31.072.940, 227.540, 137
Thailand, 69.799.978, 510.890, 137
Poland, 37.846.611, 306.230, 124
Azerbaijan, 10.139.177, 82.658, 123
Moldova, 4.033.963, 32.850, 123
France, 65.273.511, 547.557, 119
United Arab Emirates, 9.890.402, 83.600, 118
Ethiopia, 114.963.588, 1.000.000, 115
Jordan, 10.203.134, 88.780, 115
Slovakia, 5.459.642, 48.088, 114
Portugal, 10.196.709, 91.590, 111
Sierra Leone, 7.976.983, 72.180, 111
Turkey, 84.339.067, 769.630, 110
Austria, 9.006.398, 82.409, 109
Benin, 12.123.200, 112.760, 108
Hungary, 9.660.351, 90.530, 107
Cuba, 11.326.616, 106.440, 106
Albania, 2.877.797, 27.400, 105
Armenia, 2.963.243, 28.470, 104
Egypt, 102.334.404, 995.450, 103
